병원코드(쇼핑몰),병원명,주소,병원코드(SAP)
5099,닥터스피부과의원 과천점,경기 과천시 별양상가3로 14 (별양동. e편한세상 시티 과천),sap328
5102,닥터스피부과의원 위례점,경기 성남시 수정구 위례광장로 320 (창곡동. 아이에스센트럴타워),sap329
5103,밴스의원 홍대점,서울 마포구 양화로 148 (동교동. 탑라인타워),sap330
5104,시네마의원,서울 강남구 강남대로 528 (논현동),sap331
5105,체인지의원,서울 강남구 도산대로 318 (논현동. SB타워),sap332
5107,리디안의원,서울 강남구 논현로 836 (신사동),sap333
5108,스무살봄의원,경기 용인시 수지구 성복2로 92 (성복동),sap334
5109,비즈성형외과,서울 영등포구 영중로 60,sap335
5110,연세로의료의원,서울 종로구 삼봉로 57 (수송동. 호수빌딩),sap336
5111,다이아몬드의원,인천 부평구 경원대로 1395 (부평동. 부평일번가),sap337
5112,닥터스피부과,서울 강남구 도산대로 107 (신사동. BIO),sap338
5113,아름다운나라피부과,서울 중구 명동8나길 6 (충무로1가),sap339
5115,플로레스 피부과의원,서울 서초구 동작대로 118 (방배동. 방배동예다인프라자빌딩),sap340
5116,미의원,서울 서초구 서초대로77길 9 (서초동. 강남 누드죤빌딩),sap341
5118,유앤아이의원 김포점,경기 김포시 김포한강4로 525 (구래동),sap342
5120,노블린의원,경기 고양시 덕양구 지축로 56 (지축동. 성산타워),sap343
5121,제이웰의원,인천 연수구 컨벤시아대로230번길 42 (송도동. 송도아라플라자),sap344
5124,뉴스타의원,서울 서초구 강남대로69길 8 (서초동. 케이아이타워(K I타워)),sap345
5125,다이브의원,서울특별시 성북구 동소문로 98 (동소문동5가) 메디컬센터빌딩,sap346
5126,청담 데이원의원,서울 강남구 삼성로 651 (삼성동. 래미안 라클래시),sap347
5127,세니아클리닉,서울특별시 서초구 강남대로69길 8 (서초동) 케이아이타워(K I타워),sap348
5129,엘로디의원,경기 파주시 경의로 1204 (와동동),sap349
5132,연세플러스의원,서울 마포구 도화동 563,sap350
5133,다시봄날의원 강남점,서울 서초구 서초대로77길 24 (서초동. 강남 지웰타워2),sap351
5135,강남타임의원,서울 강남구 강남대로 476 (논현동. urbanhive),sap352
5136,오가나셀피부과 동대문점,서울 동대문구 답십리로 9 (전농동),sap353
5137,톡스앤필/인천구월점,인천 남동구 예술로 126 ,sap354
5138,청담이지성형외과,인천 남동구 인하로 497-5 (구월동. 푸른세상안과),sap355
5140,유앤아이의원 (광명),경기 광명시 양지로 21 (일직동),sap356
5141,파크뷰의원 잠실,서울 송파구 올림픽로 116 (잠실동. 메디씨티 빌딩),sap357
5142,뷰티앤디지털치과병원,경기 파주시 경의로1240번길 19 (와동동),sap358
5143,리델의원,서울특별시 강남구 선릉로 820 (청담동),sap359
5144,더조은서울내과,경기 안산시 상록구 예술광장로 35 (월피동. 에스엘타운),sap360
5145,분당프리미어의원,경기 성남시 분당구 백현로101번길 29 (수내동. C&C 빌딩),sap361
5147,르샤인 클리닉,서울 서초구 강남대로61길 17 (서초동. 밀라텔 쉐르빌),sap362
5150,루미나피부과의원,경기 용인시 수지구 성복2로 38 (성복동. 성복역 롯데캐슬 골드타운),sap363
5151,비스포크의원,서울 마포구 마포대로 109 (공덕동. 롯데캐슬프레지던트),sap364
5153,셀리앤 의원,서울 강남구 도산대로 228 (논현동. 연승빌딩),sap365
5154,닥터스피부과의원,서울 송파구 백제고분로 364 (석촌동. 대신빌딩),sap366
5156,뮤즈의원,경기 안산시 단원구 고잔로 108 (고잔동. 대동조이월드),sap367
5157,유앤아이의원 다산점,경기 남양주시 다산중앙로145번길 17 (다산동),sap368
5158,메이린의원,서울 강동구 천호대로 1005 (천호동. 현대백화점),sap369
5159,우아한피부과의원,경기 고양시 덕양구 동송로 61 (삼송동),sap370
5160,베이드의원,서울 강남구 논현로 839 (신사동),sap371
5163,리버스의원,서울 노원구 상계로 70 (상계동. 화랑빌딩),sap372
5164,미의원,인천 부평구 광장로 4 (부평동),sap373
5166,장곡맑은위내과의원,경기 시흥시 황고개로 528 (장곡동),sap374
5167,새론바디내과의원,서울 서초구 서초대로 270 (서초동. 서보빌딩),sap375
5169,헤이데이클리닉,서울 강남구 강남대로 374 (역삼동),sap376
5171,유스의원,서울 영등포구 의사당대로 108 (여의도동. 아일렉스),sap377
5172,강남엔비의원,서울 서초구 서초대로77길 17 (서초동. BLOCK77),sap378
5174,주식회사 아모레보미,경기도 고양시 덕양구 지축1로 41 (지축동) ( 대경스퀘어 ),sap379
5175,미애로여성의원,경기 부천시 경인로 238-7 (심곡본동),sap380
5176,세영산부인과,인천 미추홀구 낙섬서로 4 (용현동. 현대메디켈센타),sap381
5178,고정아의원,서울 강남구 도산대로 134 (논현동),sap382
5181,메이필의원,서울 서초구 강남대로 423 (서초동. 한승빌딩),sap383
5183,다시봄날의원,경기도 고양시 덕양구 지축1로 39 (지축동) ( 지축프라자 ),sap384
5184,신사에그의원,서울특별시 서초구 강남대로 613 (잠원동) 성락빌딩,sap385
5185,더라움의원,경기 안성시 중앙로 374 (서인동),sap386
5186,주식회사 글래시스킨,서울 강남구 도산대로81길 51 (청담동. 루미안빌),sap387
5188,다시봄날의원 가정청라점,인천 서구 염곡로464번길 7 (가정동),sap388
5189,여름의원,서울특별시 서초구 강남대로 407 (서초동),sap389
5190,뮤즈의원 노원,서울 노원구 노해로 447 (상계동. 태웅빌딩),sap390
5192,더이쁨풀의원,서울 강남구 역삼동 696-42,sap391
5193,더씨엘의원,서울특별시 강남구 압구정로 436 (청담동) 베띠앙뜨사옥,sap392
5194,다시봄날의원,경기 광주시 벼루개로 36 (태전동. 서원프라자3),sap393
5197,주식회사소화,서울 영등포구 버드나루로 69 (영등포동7가),sap394
5198,도움의원,서울 영등포구 양평로 20 (당산동6가),sap395
5201,보스피부과의원,서울 강남구 언주로 806 (신사동. 선도빌딩),sap396
5205,트로이성형외과의원,서울 양천구 목동로 203 (신정동),sap397
5207,삼성로하스의원,전북 전주시 완산구 홍산로 253 (효자동2가),sap398
5208,바이슈 의원,서울 강남구 봉은사로 109 (논현동. 싼타홍메디컬타워),sap399
5210,스킨다피부과의원 청담점,서울특별시 강남구 학동로 413 (청담동),sap400
5211,연세마이피부과의원,경기 남양주시 늘을2로 20 (호평동. CH리베로빌딩),sap401
5212,케이톡스의원,인천 부평구 경원대로 1404 (부평동. 그랑프리 빌딩),sap402
5213,닥터손유나의원,서울특별시 강남구 도산대로53길 6 (신사동),sap403
5215,메이린스테이션 주식회사,서울 성동구 상원12길 34 (성수동1가),sap404
5216,케이톡스의원,인천 부평구 경원대로 1404 (부평동. 그랑프리 빌딩),sap405
5217,리멤버피부과시흥점,경기 시흥시 은계번영길 9 (은행동. 골드웨이Ⅰ),sap406
5218,조은피부과의원,경기 과천시 별양상가3로 5 (별양동. 유니온빌딩),sap407
5220,샤인빔의원,경기 안양시 동안구 시민대로 202 (호계동. 에메랄드빌딩),sap408
5221,강변서울의원,전남 나주시 남평읍 강변2길 5-11 (동사리),sap409
5225,DA성형외과,서울 강남구 테헤란로 125 (역삼동. D.A디에이성형외과),sap410
5226,미올린의원,경기 오산시 내삼미로 83 (수청동. 센타프라자),sap411
5230,다시봄날의원 지축점,경기 고양시 덕양구 지축1로 39 (지축동),sap412
5231,예스피부과,인천 중구 영종대로 184 (운서동. 영종예스타워복합상영관),sap413
5232,페이지랩의원_강남,서울 서초구 강남대로 477 (반포동),sap414
5235,솔루션의원,서울특별시 강남구 도산대로45길 18-6 (신사동) 돌체비타빌딩,sap415
5236,메이린의원,서울 강남구 압구정로29길 21 (압구정동. 현대백화점 컬처파크),sap416
5237,유앤영피부과,서울 노원구 노해로 480 (상계동. 조광빌딩),sap417
5238,서정피부과,서울 서초구 서초중앙로 188 (서초동. 아크로비스타),sap418
5240,라베성형외과의원,인천 연수구 신송로 161 (송도동. 송도 하이츠),sap419
5242,소예피부과의원,경기 광명시 금하로 458 (소하동. 웅신아트),sap420
5243,썸블리 의원,인천 남동구 인하로507번길 18 (구월동),sap421
5247,레이크봄봄피부과의원,경기 화성시 동탄대로 181 (송동. 동탄린스트라우스더레이크),sap422
5248,골드제이의원,서울 강남구 테헤란로 337 (역삼동),sap423
5249,맑고고운의원 수원점,경기 수원시 장안구 대평로 80 (정자동),sap424
5250,판교연세피부과의원,경기 성남시 분당구 동판교로 59 (백현동. 자유퍼스트프라자1),sap425
5251,삼육서울병원,서울 동대문구 망우로 82 (휘경동. 삼육서울병원. 삼육보건대학교),sap426
5254,오월의아침피부과,경기 성남시 분당구 돌마로 46 (구미동),sap427
5257,유앤아이의원 건대점,서울 광진구 아차산로 219 (화양동. 삼영빌딩),sap428
5258,미드림의원,경기 안산시 단원구 광덕3로 167 (고잔동. 신영프라자),sap429
5259,"오늘,맑음의원",경기 성남시 분당구 서현로210번길 2 (서현동. 성지하이츠텔),sap430
5263,샤인빔의원,서울 강남구 테헤란로1길 10 (역삼동. 세경빌딩),sap431
5265,메이린의원,경기 성남시 분당구 백현동 541,sap432
5266,에이치봄의원,인천 미추홀구 독배로 309 (용현동. 노블레스타워),sap433
5267,박성주조에피부과,서울 강남구 남부순환로 2732 (도곡동),sap434
5268,다시봄날의원,서울특별시 서초구 강남대로 621 (잠원동) 잠원동 K-TOWER,sap435
5269,톡스앤필의원 제주점,제주특별자치도 제주시 노형로 378 (노형동),sap436
5270,더끌림산부인과,서울 중구 퇴계로 109 (충무로1가),sap437
5271,리엔뉴의원,서울 영등포구 의사당대로 127 (여의도동. 롯데캐슬엠파이어),sap438
5272,더피부과의원,경기 부천시 신흥로 226 (중동. 빈센트타워),sap439
5273,에이엘의원,서울특별시 강남구 도산대로 410,sap440
5274,페이지랩의원,인천 부평구 시장로 7 (부평동),sap441
5275,잇츠미의원,경기 화성시 동탄오산로 86-3 (오산동),sap442
5277,아리엘의원,인천 연수구 컨벤시아대로130번길 14 (송도동. 송도 메디컬타워),sap443
5278,레디피부과의원,서울 서초구 방배로 105 (방배동. 디엠타워 2관),sap444
5279,빛이난다의원,서울 중구 명동8길 8-9 (명동2가),sap445
5280,연의원,경기 안양시 동안구 평촌대로217번길 15 (호계동. 파크애비뉴엘),sap446
5281,리멤버피부과의원 평택고덕점,경기 평택시 고덕중앙로 200-4 (고덕동. 우성고덕타워),sap447
5282,위례포에버의원,서울특별시 강서구 강서로 395 (마곡동) ( 플레이스에이치 ),sap448
5283,톡스앤필의원 홍대신촌점,서울 마포구 양화로 141 (동교동. 롯데호텔 L7홍대),sap449
5284,강남역데이원의원,서울 서초구 강남대로 423 (서초동. 한승빌딩),sap450
5292,케이톡스의원 인천구월점,인천 남동구 인하로507번길 4 (구월동. 벽성빌딩),sap451
5294,닥터스피부과의원,서울 강동구 고덕로 266 (명일동. 고덕역 대명벨리온),sap452
5295,삼성더봄피부과의원,인천 남동구 서창남순환로 223 (서창동. 아페리온),sap453
5298,휴먼피부과의원,인천광역시 연수구 센트럴로 263 (송도국제업무단지 C8-2블럭 업무복합시설)업무동 5층 휴먼피부과,sap454
5299,서울美의원,서울 관악구 관악로 165 (봉천동. 홍빌딩),sap455
5300,메이비의원,서울 양천구 목동동로 233-1 (목동. 드림타워),sap456
5301,청담맑은피부과의원,경기 용인시 기흥구 삼성로 1 (농서동. 삼성전자(주)기흥캠퍼스),sap457
5303,김군홍의원,경기 평택시 안중읍 안중로 141 (안중리),sap458
5304,다산더맑은의원,경기 남양주시 다산중앙로 17 (다산동),sap459
5305,뮤즈의원,경기 안양시 동안구 평촌대로 217 (호계동. 한솔센트럴파크 I),sap460
5310,에르시아 의원,서울 강남구 언주로30길 56 (도곡동. 타워팰리스),sap461
5313,톡스앤필의원,인천 부평구 부평대로 21 (부평동. 금남빌딩),sap462
5314,CnB맑고고운본점의원,인천 미추홀구 미추홀대로 610 (주안동),sap463
5315,스페셜성형외과,경기 안양시 동안구 시민대로 260 (관양동. 안양금융센터 A.F.C),sap464
5316,다시봄날의원,경기 용인시 기흥구 흥덕2로105번길 5 (영덕동. 서서타워),sap465
5317,블리스의원,서울 강남구 봉은사로 116 (역삼동. 은성빌딩),sap466
5318,포에버의원 제주,제주특별자치도 제주시 삼무로 18 (연동. 제주연동 하우스디어반),sap467
5319,맑고고운의원 옥련송도역점,인천 연수구 독배로40번길 11 (옥련동. 효명프라자),sap468
5321,엔젤미의원,서울 강남구 논현로 868 (신사동. 구정빌딩),sap469
5322,휴앤미의원,서울특별시 양천구 오목로 231 (신정동),sap470
5323,범계예쁨주의쁨의원,경기 안양시 동안구 시민대로 206 (호계동),sap471
5324,맑을아의원,서울 노원구 노해로81길 5-6 (상계동. 노원스퀘어),sap472
5326,잇츠미성형외과의원,인천 연수구 하모니로 158 (송도동. 송도타임스페이스),sap473
5327,뮤즈의원,충남 천안시 서북구 불당21로 67-8 (불당동),sap474
5328,담의원,서울 강남구 삼성로126길 6 (삼성동),sap475
5329,뷰티앤영의원,서울 강남구 강남대로 626 (신사동. 엠아이타워빌딩),sap476
5332,리멤버피부과 별내,경기 남양주시 별내중앙로 10 (별내동. 별내역 아이파크 스위트),sap477
5333,메가비뇨의학과,인천 남동구 논고개로 114 (논현동. 에이스타워),sap478
5334,엘레멘트피부과의원,서울 강남구 도산대로 417 (청담동),sap479
5335,뷰티온의원(강서점),서울 강서구 마곡중앙6로 93 (마곡동. 열린프라자),sap480
5336,디아뜨의원,서울 강남구 강남대로 616 (신사동. 신사미타워),sap481
5338,닥터스키니,서울 강남구 강남대로 416 (역삼동. 창림빌딩),sap482
5339,샤론의원,인천 부평구 부평동 194-4,sap483
5341,미앤미의원,서울 관악구 남부순환로 1801 (봉천동),sap484
5343,서울진피부과,서울 노원구 동일로 1402 (상계동),sap485
5344,더바디쉼의원,서울 서초구 서초대로74길 45 (서초동. ENDEAVOR TOWER),sap486
5346,삼성서울 리프앤톡스의원,강원 원주시 혁신로 35 (반곡동),sap487
5347,소사벌 휴먼피부과,경기 평택시 비전5로 20-24 (비전동),sap488
5348,벨뷰의원,서울 서초구 서초대로77길 9 (서초동. 강남 누드죤빌딩),sap489
5349,피엘의원,서울 용산구 서빙고로 17 (한강로3가),sap490
5351,VS라인의원,서울특별시 강남구 압구정로30길 51 (신사동) I.S.A 빌딩,sap491
5352,하늘느낌피부과,서울 강남구 도산대로49길 13 (신사동. SMART EXCHANGE),sap492
5353,닥터지의원,경기 안양시 동안구 시민대로 311 (관양동. 금강스마트빌딩),sap493
5354,양주옥정리멤버피부과,경기 양주시 옥정동 963-3,sap494
5355,이지함 피부과의원,서울 영등포구 여의나루로 42 (여의도동. 여의도종합상가),sap495
5357,스키니크의원,서울 서초구 강남대로 439 (서초동. 유화빌딩),sap496
5364,오션의원,서울 서초구 강남대로 363 (서초동. 363강남타워),sap497
5370,휴먼피부과 평택점,경기 평택시 중앙2로 13 (평택동),sap498
5371,엘르성형외과,서울 강남구 논현로 841 (신사동. 제이비 미소빌딩),sap499
5372,대치수피부과,서울 강남구 남부순환로 2941 (대치동. 대치탑프라자),sap500
5373,미모던피부과의원,서울 강남구 광평로 280 (수서동. 로즈데일오피스텔),sap501
5374,링클성형외과의원,서울 서초구 강남대로69길 8 (서초동. 케이아이타워(K I타워)),sap502
5376,프레쉬이비인후과의원,서울 강남구 남부순환로 2615 (도곡동. 극동스타클래스),sap503
5379,잇츠미의원,경기 안산시 단원구 고잔1길 7 (고잔동. 석탑프라자),sap504
5380,이뽀라성형외과의원,경기 화성시 동탄순환대로 127-5 (산척동. 우성센트럴타워),sap505
5382,논현튠의원,서울 강남구 논현로 868 (신사동. 구정빌딩),sap506
5383,양재 유앤미의원,서울 강남구 개포로 205 (개포동. 양재빌딩),sap507
5384,로렐의원,서울특별시 강남구 선릉로152길 17 (청담동) ( 아시아청담부띠끄 ),sap508
5386,의료법인루가의료재단 나은병원,인천 서구 원적로 23 (가좌동. 나은병원),sap509
5387,그리다성형외과의원,서울 강남구 강남대로 408 (역삼동. YBM강남센터),sap510
5388,제이스타피부과,서울시 동작구 상도로 65(대방동),sap511
5389,리윤피부과의원,서울 송파구 양재대로 1164 (오금동. 홍일빌딩),sap512
5390,유앤아이의원(수원),경기 수원시 팔달구 효원로265번길 54 (인계동),sap513
5391,연세청아린의원,서울 서초구 서초중앙로24길 27 (서초동. G5센트럴프라자),sap514
5393,노블클래식의원,경기 군포시 산본로323번길 16-12 (산본동. 센타빌딩),sap515
5394,로사의원,서울 강남구 선릉로 427 (역삼동),sap516
5395,용인미하나의원,경기 용인시 처인구 금령로 86 (김량장동),sap517
5396,제이나피부과,서울특별시 강동구 양재대로 1629 (명일동),sap518
5397,그랜트피부과의원,서울 광진구 천호대로 549 (중곡동. 지타워),sap519
5398,우태하피부과의원 동대문점,서울 동대문구 왕산로 151 (제기동),sap520
5400,CNP 차앤박피부과,인천 남동구 예술로 138 (구월동. 이토타워),sap521
5401,나인9의원,서울 도봉구 도봉로 461 (쌍문동. 우림빌딩),sap522
5402,리즈온의원,경기 성남시 분당구 분당로53번길 11 (서현동. 서원플라자),sap523
5403,블랑쥬의원,서울특별시 서초구 강남대로69길 8 (서초동) 케이아이타워(K I타워),sap524
5406,청담리투의원,서울 강남구 도산대로 435 (청담동. 삼이빌딩),sap525
5408,리즈온의원 홍대점,서울 마포구 홍익로 25 (서교동),sap526
5409,와인피부과의원,제주특별자치도 제주시 1100로 3178 (노형동),sap527
5410,더히엘클리닉,경기 고양시 일산동구 위시티로 34 (식사동),sap528
5411,리즈온의원 천호점,서울 강동구 천호옛길 88 (성내동. G라이트빌딩),sap529
5413,에젤피부과의원,서울 강남구 가로수길 80 (신사동),sap530
5414,뷰티라운지의원,서울 송파구 올림픽로 289 (신천동. 잠실시그마타워),sap531
5416,비비라인플렉스의원,서울 강남구 테헤란로 101 (역삼동. 이즈타워),sap532
5418,보니따의원,서울 서초구 강남대로 565 (잠원동. 미래빌딩),sap533
5419,주식회사 에이티움,서울 서초구 주흥길 14 (반포동),sap534
5421,플랜피부과의원,경기 김포시 김포대로 709 (풍무동. 퍼스트블루),sap535
5422,우태하피부과의원,서울 송파구 올림픽로 212 (잠실동. 갤러리아팰리스),sap536
5425,더왈츠의원,서울 서초구 강남대로 415 (서초동. 대동빌딩),sap537
5429,비에프작은별피부과의원,서울 영등포구 국제금융로6길 26 (여의도동. 한국노총),sap538
5433,별고운빛의원,경기 남양주시 별내중앙로 26 (별내동),sap539
5434,WE클리닉,서울 영등포구 양평로 22 (당산동6가),sap540
5435,아이필유의원,서울 서초구 강남대로 437 (서초동. 대원빌딩),sap541
5436,닥터쁘띠의원 건대점,서울특별시 광진구 아차산로 213 (웅진빌딩) ,sap542
5437,닥터쁘띠의원,서울특별시 강남구 테헤란로4길 5 (역삼동) 해암빌딩,sap543
5440,엠공일의원,인천 부평구 경원대로 1395 (부평동. 부평일번가),sap544
5441,여의공감성형외과의원,서울 영등포구 여의나루로 81 (여의도동. 한마루빌딩),sap545
5442,라임의원,인천 서구 중봉대로 594 (청라동. 청라비전프라자),sap546
5445,닥터쁘띠의원,서울특별시 중구 퇴계로 145 (충무로2가) ( 세종호텔 ),sap547
5446,일산주엽톡스앤필의원,경기 고양시 일산서구 중앙로 1413 (주엽동. 동영빌딩),sap548
5447,미금동안마녀의원,경기 성남시 분당구 돌마로 75 (금곡동. 미금프라자),sap549
5449,닥터쁘띠의원,경기 고양시 일산동구 장항동 864,sap550
5450,엘리트성형외과의원,인천 남동구 인주대로 593 (구월동),sap551
5451,닥터쁘띠의원,서울 노원구 동일로 1396 (상계동. 중원빌딩),sap552
5452,닥터쁘띠의원,서울 마포구 양화로 151 (동교동),sap553
5454,라마르의원,서울 강동구 진황도로 99,sap554
5455,리팅의원 수원점,경기도 수원시 팔달구 중부대로 141 (우만동) 메타타워Ⅱ,sap555
5456,트리에피부과의원,서울 성동구 매봉길 48 (옥수동),sap556
5459,건대톡스앤필,서울특별시 강남구 논현로 807 (신사동),sap557
5461,타임리턴의원,서울 영등포구 여의나루로 71 (여의도동. 동화빌딩),sap558
5462,플레니어피부과의원,경기 화성시 동탄순환대로 400 (목동),sap559
5463,신사인피부과의원,서울 강남구 도산대로 107 (신사동. BIO),sap560
5464,슈링톡스의원,경기 화성시 동탄대로 537 (오산동),sap561
5465,바이오미의원,서울 강남구 선릉로 429 (역삼동. KR타워),sap562
5467,새봄피부과의원,경기 광주시 광주대로 35 (경안동),sap563
5468,라벨라의원,서울 서초구 강남대로 455 (서초동. 강남태영데시앙루브),sap564
5469,스텔라의원,서울 양천구 오목로 350 (목동. 썬택씨티빌딩),sap565
5470,리즈피부과의원,경기 성남시 분당구 성남대로331번길 3-3 (정자동. 젤존타워III),sap566
5473,청담바롬의원,서울 용산구 백범로 341 (원효로1가. 리첸시아 용산),sap567
5474,톡스앤필의원명동점,서울 중구 남대문로 84 (남대문로2가),sap568
5478,청아연의원,서울 강남구 강남대로 584 (논현동. 성일빌딩),sap569
5479,연세스타의원,경기 남양주시 별내5로 189-130 (별내동. 별내우미린스타포레),sap570
5480,오블리브의원 인천송도본점,인천 연수구 인천타워대로132번길 34 (송도동),sap571
5481,연세빛의원,경기 용인시 기흥구 보정로 32 (보정동. 지젤스포츠클럽),sap572
5483,청담헤아린의원,서울 강남구 도산대로 412 (청담동. 남강빌딩),sap573
5484,세라필의원,인천 연수구 해돋이로 165 (송도동. 차오름 프라자),sap574
5485,사적인아름다움지유의원,서울 서초구 서초대로77길 54 (서초동. 서초더블유타워),sap575
5486,압구정허피부과의원,서울특별시 강남구 언주로174길 26 (신사동) ( 남강빌딩 ),sap576
5487,오래올의원,서울 구로구 경인로 661 (신도림동. 신도림1차푸르지오),sap577
5488,포인트업의원,서울 강남구 논현로 837 (신사동. 원방빌딩),sap578
5489,호수의원,서울 용산구 독서당로 85 (한남동. 하나은행),sap579
5490,쥬넥스의원,서울 강남구 도산대로 435 (청담동. 삼이빌딩),sap580
5491,슈퍼스타 피부과,서울 구로구 디지털로32길 79 (구로동. 조영빌딩),sap581
5492,베스탑 비뇨기과의원,경기 화성시 동탄반석로 196 (반송동. 아이프라자),sap582
5493,디라운지피부과의원,서울 강남구 강남대로 626 (신사동. 엠아이타워빌딩),sap583
5496,맑은윤의원,경기 용인시 기흥구 구성로 103 (언남동. 멀티프라자),sap584
5497,노블클래식의원,경기 수원시 장안구 경수대로 920 (조원동. 1),sap585
5498,삼성웰의원,경기 부천시 역곡로 7 (역곡동. 스카이빌딩),sap586
5503,차앤박피부과의원,서울 강남구 강남대로 248 (도곡동. 목원빌딩),sap587
5505,하나여성의원,경기 안성시 안성맞춤대로 1043 (서인동),sap588
5506,청담공의원,서울 강남구 도산대로 419 (청담동),sap589
5507,창피부과,서울 강남구 테헤란로87길 51 (삼성동. 여송빌딩),sap590
5509,이주협피부과의원,서울특별시 양천구 신목로 102 (목동) 대경프라자,sap591
5510,더고운의원,제주특별자치도 제주시 중앙로 371 (이도이동),sap592
5512,로쉬여성의원,서울 은평구 가좌로 234 (응암동),sap593
5513,라르떼의원 (화곡),서울 강서구 강서로 161 (화곡동),sap594
5515,트렌드의원,경기 부천시 상동로 79 (상동. 부천상동수석프라자),sap595
5516,로젤의원,서울 노원구 동일로 1419 (상계동. 디와이홀딩스(주)빌딩),sap596
5517,유엘의원,경기 수원시 영통구 태장로 84 (망포동. 망포프라자),sap597
5518,뷰티엠의원,서울 광진구 아차산로 226 (자양동. 성용빌딩),sap598
5519,강북이지함피부과,서울 노원구 노해로 457 (상계동. 은성빌딩),sap599
5520,김송이의원,서울 송파구 올림픽로 100 (잠실동. 효창타워),sap600
5521,파크뷰의원,인천 서구 청라라임로 65 (청라동. 라임타워),sap601
5522,이천닥터스피부과,경기 이천시 이섭대천로 1203 (중리동. 하나빌딩),sap602
5523,유드림의원,서울 은평구 통일로 856 (불광동. 메트로타워),sap603
5524,뷰(Beau)의원,서울 강서구 공항대로 200 (마곡동. 마곡지웰타워),sap604
5525,권오정리얼뷰티,서울 강남구 선릉로86길 12 (대치동),sap605
5526,케이톡스 강서마곡점,서울 강서구 마곡중앙6로 93 (마곡동. 열린프라자),sap606
5527,서울스타 비뇨의학과의원,경기 안성시 공도읍 공도로 83 (만정리),sap607
5530,갤러리아피부과의원,서울 서초구 잠원로4길 33-2 (잠원동. 잠원동 스타빌딩),sap608
5532,강남비앤비의원,서울 강남구 강남대로 616 (신사동. 신사미타워),sap609
5533,myskin 피부과,서울 노원구 한글비석로 254 (중계동. 대명프라자),sap610
5534,라마르의원,서울 관악구 관악로 203 (봉천동),sap611
5537,비오페이스의원,서울 서초구 강남대로 605 (잠원동. 세양21세기 휴먼TOWER),sap612
5539,연세이브의원,경기 수원시 팔달구 효원로 288 (인계동. 대원콤비프라자),sap613
5540,광명미소가인피부과,경기 광명시 광명로 906 (광명동. 현대아이타워),sap614
5542,디의원,서울 강남구 청담동 100-17,sap615
5543,톡스앤필의원평택점,경기 평택시 평택동 298-1,sap616
5544,이가인의원,서울 마포구 월드컵로 75 (망원동. 비투어타이어빌딩),sap617
5548,고운몸의원,서울 서초구 강남대로 321 (서초동. 서초동대우디오빌프라임),sap618
5551,웰스킨의원,경기 성남시 수정구 위례광장로 104 (창곡동. 위례 한화 오벨리스크 센트럴스퀘어),sap619
5552,아이델성형외과의원,서울특별시 강남구 봉은사로 117 (논현동) 이건빌딩,sap620
5556,연세리앤피부과의원,서울 영등포구 영중로 18 (영등포동3가),sap621
5557,연세팜스의원,"서울특별시 은평구 통일로 767 (대조동, 베르디움STAY1)",sap622
5558,포커스성형외과의원,경기 부천시 길주로 284 (중동. 신중동역 헤리움 메트로타워),sap623
5559,제니스피부과의원,경기 용인시 기흥구 흥덕중앙로 59 (영덕동. 용인흥덕노블레스흥덕노블레스),sap624
5560,미앤클린의원,경기 평택시 비전5로 20-30 (비전동),sap625
5561,아름다운 의원,서울 광진구 화양동 5-1,sap626
5562,다시봄날의원,경기 오산시 수목원로 466 (금암동),sap627
5563,오늘안피부과의원,서울 강남구 도산대로49길 17 (신사동. 산딸기빌딩),sap628
5565,포에버성형외과피부과분당점,경기 성남시 분당구 서현로 192 (서현동. 야베스밸리),sap629
5566,오아로피부과,서울 용산구 한강대로 95 (한강로2가. 래미안용산 더 센트럴),sap630
5567,압구정예인피부과의원,서울 강남구 언주로 827 (신사동. 스페이스 씨),sap631
5570,해피닥터의원,경기 성남시 분당구 정자일로 227 (정자동. 백궁지엔느주차전용빌딩),sap632
5571,홍대디온의원,서울 마포구 양화로 156 (동교동. LG팰리스빌딩) ,sap633
5572,레아주서울피부과의원,서울 강남구 논현로 841 (신사동. 제이비 미소빌딩),sap634
5573,세림피부과의원,경기 성남시 중원구 산성대로 360 (중앙동. 지성빌딩),sap635
5577,봄눈피우다의원,서울 마포구 양화로 192 (동교동),sap636
5578,블리비의원 원주,강원 원주시 서원대로 396 (단구동. 스타월드),sap637
5580,엠레드 클리닉,서울특별시 강남구 학동로77길 34 (청담동) 갤러리더스페이스,sap638
5581,루비의원,서울 중구 명동길 65 (명동1가. 보림빌딩),sap639
5582,장미꽃과나이팅게일피부과,경기 수원시 팔달구 중부대로239번길 5 (우만동. 우만동R타워),sap640
5584,나를의원,서울 강남구 가로수길 18 (신사동),sap641
5585,세인트성형외과,인천 부평구 부평문화로 55 (부평동. 와이디타워),sap642
5587,연세늘봄피부과의원,서울 도봉구 도봉로 669 (방학동),sap643
5588,아우라의원,서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY 반포천 복개주차장,sap644
5589,라르떼의원 서울대입구점,서울 관악구 남부순환로 1814 (봉천동. 대연빌딩),sap645
5590,디엠피부과,서울 강남구 압구정로 158 (신사동. 진우빌딩),sap646
5592,리더스피부과,경기 성남시 수정구 위례광장로 300 (창곡동. 위례중앙역 중앙타워),sap647
5593,원더스의원,강원 원주시 서원대로 164 (단계동),sap648
