병원코드(쇼핑몰),병원명,주소,병원코드(SAP)
4788,벧엘피부과의원,부산 동래구 충렬대로 160 (온천동),sap78
4789,고운빛의원,전남 순천시 연향번영길 122 (연향동. 휴대폰종합할인매장),sap79
4790,일라스의원,부산 해운대구 센텀2로 25 (우동. 센텀드림월드),sap80
4791,대전미의원,대전 서구 둔산로 34(둔산동. 씨엔씨타워),sap81
4792,실로스의원,경남 창원시 성산구 중앙대로 114 (상남동. 제일은행),sap82
4793,벨다드의원,경남 창원시 성산구 마디미서로 3 (상남동. 세중빌딩),sap83
4794,유앤아이의원 광주점,광주 서구 상무중앙로 24 (치평동),sap84
4795,샤인유의원 (천안점),충남 천안시 서북구 불당21로 65 (불당동),sap85
4796,미래피부과,전북특별자치도 전주시 덕진구 기린대로 465 (덕진동1가),sap86
4797,리뉴외과의원,서울 강남구 도산대로 335 (신사동. J MEDI TOWER),sap87
4798,뷰티온의원 평택고덕점,경기 평택시 고덕중앙로 218 (고덕동),sap88
4799,케이피부과,부산광역시 수영구 수영로 693 (수영동) BNK 수영타워,sap89
4800,셀럽성형외과의원,경남 창원시 성산구 마디미동로 31 (상남동. 호동빌딩),sap90
4801,언제나365의원,서울 용산구 서빙고로 17 (한강로3가),sap91
4802,맑은피부과,부산 서구 보수대로 9 (충무동1가),sap92
4803,리쥬미의원,부산 연제구 중앙대로 1107 (연산동. 연산동e메디칼),sap93
4805,데르마피부과의원,부산 해운대구 해운대로 415 (우동),sap94
4806,헤라의원,부산 부산진구 중앙대로 664 (부전동. 이랜드 PEER 서면),sap95
4807,리엘르의원,서울 마포구 양화로 162 (동교동. 좋은사람들 빌딩),sap96
4808,엘리스의원,광주 동구 호남동 35-3,sap97
4809,뮤즈의원 대전점,대전 서구 대덕대로 229 (둔산동. 명화빌딩),sap98
4810,메이의원,서울 중구 명동8길 14 (명동2가),sap99
4811,톡스앤필의원 대전둔산점,대전 서구 대덕대로 226 (둔산동),sap100
4812,화이트퀸의원,대구광역시 중구 동성로 36 (동성로2가),sap101
4813,유앤아이의원 마곡점,서울 강서구 공항대로 168 (마곡동. 747),sap102
4814,블리비의원/수원인계,경기 수원시 팔달구 권광로 181 (인계동. 씨네파크),sap103
4815,올댓라인의원,충북 청주시 흥덕구 대농로 66 (복대동),sap104
4816,댄클리닉,경남 창원시 성산구 중앙대로100번길 13 (상남동),sap105
4818,지움의원,경남 창원시 성산구 마디미로16번길 11 (상남동. 지원빌딩),sap106
4819,채영수피부과의원,울산광역시 남구 삼산로 273 삼산타워 8층 ,sap107
4820,블리비의원 수원점,경기 수원시 팔달구 갓매산로 38 (매산로2가. 다성빌딩),sap108
4821,리즈온의원 부산점,부산 부산진구 가야대로 783 (부전동),sap109
4822,에스덤의원,울산 북구 박상진12로 11 (송정동. 지오타워),sap110
4823,뮤즈의원,경남 창원시 성산구 단정로 13 (상남동. 에이스타워),sap111
4824,코앤유피부과,서울 구로구 경인로59길 8 (신도림동. 태영프라자),sap112
4825,강남포에버의원,서울 강남구 강남대로 446 (역삼동. 한웰빌딩),sap113
4826,러블리피부과의원,대전 서구 둔산남로 107 (둔산동),sap114
4827,센텀쁘띠 의원,경남 거제시 서문로5길 6 (고현동),sap115
4828,미앤사랑피부과,광주 서구 풍암중앙로 41 (풍암동),sap116
4829,예사랑피부과,광주 서구 금화로 90 (금호동. 동해빌딩),sap117
4830,서울나인앤의원,충남 천안시 서북구 불당22대로 86 (불당동. 마블러스에스타워),sap118
4831,미하이의원 전주,전북 전주시 완산구 홍산로 245 (효자동2가),sap119
4832,톱스타성형외과의원,광주 서구 상무중앙로 42 (치평동. 오션2빌딩),sap120
4833,리베리의원 화성병점,경기 화성시 병점노을4로 29 (병점동),sap121
4834,하얀나라피부과,부산 해운대구 양운로 82 (좌동. 해운대화인크리닉센타),sap122
4835,디알피부과의원,서울 강남구 도산대로 404 (청담동. 퍼스트빌딩),sap123
4836,톡스앤필의원,충북 청주시 흥덕구 2순환로 1240 (강서동),sap124
4838,블리비의원 노원,서울 노원구 동일로 1413 (상계동. 남성빌딩),sap125
4839,뷰티라운지의원,서울 강남구 강남대로 442 (역삼동),sap126
4840,시티피부과,대전 유성구 도안대로 591 (봉명동),sap127
